id,SupplierReply,sentiment_scores
rev-d291d5df-5b1f-475a-8b49-4d084c0ca872,"Bonjour, merci beaucoup pour votre fidélité. Si vous êtes satisfaite, nous le sommes d'autant plus ! Ilham de l'équipe Service Client.",0.0
rev-593360cb-bf3d-41a1-9ceb-cbce3cf74e43,"Bonjour, merci d'avoir pris le temps de nous partager votre avis. La Redoute ayant à cœur de répondre au mieux aux attentes de ses clients, nous ferons remonter votre commentaire afin d'améliorer nos services. Nous nous excusons de nouveau pour ce désagrément. Ilham de l'équipe Service Client.


",0.0
rev-526d1588-6d22-4502-99a0-d401d9be24c9,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client",0.0
rev-473df9fd-068c-4d87-9d23-af0185463ad1,"Bonjour, nous sommes navrés pour les désagréments rencontrés. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client",0.0
rev-b29a7198-9ea3-437e-94da-6b3328fb656b,"Bonjour, merci d'avoir pris le temps de partager votre avis, et sommes désolés pour le retard de livraison. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client.",-0.5707
rev-4025db72-ff62-4278-8c1e-a04ef263a7d0,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.0
rev-7a5babd0-2cb8-402b-87a3-350068ac6ef9,"Bonjour, merci pour vos encouragements. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.5696
rev-38bb751f-5193-44a1-98a8-ed1e40e0f50a,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client",0.0
rev-4c9703e8-f65c-4f81-894c-540a56ec679d,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.0
rev-59c8985e-9fb2-46c5-842a-9ad4d7d80437,"Bonjour, quel plaisir de lire votre commentaire ! Merci pour vos encouragements, à très vite ! Ilham de l'équipe Service Client",0.5696
rev-68bc2e76-093b-40f5-979f-4df642915134,"Bonjour, merci de l'intérêt que vous portez à La Redoute et pour votre commentaire. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-9b2af57c-dee3-4c7b-920a-c6b949e01ff3,"Bonjour, merci beaucoup pour votre fidélité. Si vous êtes satisfait, nous le sommes d'autant plus ! Ilham de l'équipe Service Client.",0.0
rev-4f7f0616-9cec-4e96-9ee3-b0b7ef32bc00,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-75984af4-f18c-40f5-96ed-5d054d4ca57d,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client",0.0
rev-2433a587-212f-4e79-bea1-24acbcef8319,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-5567f78a-ed29-41ad-9ff6-a0999687fc33,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-70169a0a-7d69-485e-8c8d-9ccc9ffeb28f,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-dc9abb14-58a5-47d0-a73e-62eda854b709,"Bonjour, merci d'avoir pris le temps de partager votre avis, et sommes désolés pour le retard de livraison. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client.",-0.5707
rev-c019ecd6-f7b4-4b52-af65-c08f5f3e7feb,"Bonjour, nous sommes navrés pour les désagréments rencontrés. Vos remarques ont été partagées, prises en compte par l'équipe et nous aident à nous améliorer ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.0
rev-7816fdfb-d701-42b7-82fc-c94739e91fba,"Bonjour, merci de l'intérêt que vous portez à La Redoute et pour votre commentaire. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-a285e25a-cdc9-4a8d-a9ac-5ff41fb5e735,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre.
A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-54f18fb0-5dc4-4867-b8de-b40c1b01c41e,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-a878b05b-33a9-4bb3-9f69-ebf50ad2e965,"Bonjour, merci d'avoir pris le temps de partager votre avis. Vos remarques nous aident à nous améliorer ! Ilham de l'équipe Service Client


",0.0
rev-5699073d-bf96-4e8a-a2ec-fbd11e678116,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-dabcc266-60f6-4919-95cd-c93630e40d4d,"Bonjour, quel plaisir de lire votre commentaire ! Merci pour vos encouragements, à très vite ! Ilham de l'équipe Service Client",0.5696
rev-545c8b38-eac7-41bc-bff8-273cb85d7c6b,"Bonjour, quel plaisir de lire votre commentaire ! Merci pour vos encouragements, à très vite ! Ilham de l'équipe Service Client",0.5696
rev-7f28d080-b362-47ab-8b85-6439ec94744c,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client",0.0
rev-588a3113-29e8-4cdf-b0c6-9f929da12467,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-face5189-b68e-44a0-a95b-0354b6298a02,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-d08b058b-3872-4946-a3b1-d85734124a21,"Bonjour, merci de nous partager votre expérience ! Nous sommes ravis lorsque nous voyons des avis positifs comme le vôtre. A bientôt ! Ilham de l'équipe Service Client.",0.0
rev-d94f9ed0-22a2-4cfb-8aaf-4b664ffd5296,"Bonjour, merci d’avoir pris le temps de témoigner de votre expérience ! A très vite, Ilham de l'équipe Service Client.",0.0
rev-105c4f8d-2f11-4f93-8232-7ca03a17d50f,"Bonjour, c’est un plaisir de lire votre commentaire ! Nous vous remercions et restons à votre disposition. A très vite ! Ilham de l'équipe Service Client.",0.0
rev-42f460d9-1636-44d6-aa5e-4e5fe51e9078,"Bonjour, merci d’avoir pris le temps de témoigner de votre expérience ! A très vite, Ilham de l'équipe Service Client.",0.0
rev-525c8d02-4f7a-44d6-adab-3170c3f90610,"Bonjour, quel plaisir de lire votre commentaire ! Merci pour vos encouragements, à très vite ! Ilham de l'équipe Service Client",0.5696
rev-24c000d9-97bb-47f9-9446-b0f9a56e5c0c,"Bonjour, quel plaisir de lire votre commentaire ! Merci pour vos encouragements, à très vite ! Ilham de l'équipe Service Client",0.5696
rev-102b7ec2-33e3-442d-8e79-72ccea10ff6a,"Bonjour, nous avons tenté de vous joindre sans succès. Afin de trouver une solution ensemble, je vous invite à vous rendre dans la rubrique Contact du site (qui se trouve dans notre footer ou via notre moteur de recherche) ou en copiant/collant dans votre navigateur l’adresse URL suivante: https://www.laredoute.fr/espace-contact-conseiller.aspx. Jamila de l’équipe Service Client.",0.4404
rev-e31e7a6c-77e7-4ad0-b7d2-b0072deea4f1,"Bonjour, nous sommes heureux d'avoir pu trouver une solution ensemble. La Redoute vous renouvelle ses excuses. À bientôt, Soukaina de l'équipe Service Client.",0.0516
