,model,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,recall_0,recall_macro,recall_weighted,precision_0,precision_macro,precision_weighted,time_train,time_predict
0,grid_log_reg_bsl_grid,0.7917518745739605,0.7354053533602927,0.8729729729729729,0.6477341235375261,0.821154219268499,0.6622222222222223,0.7354053533602927,0.7917518745739605,0.3102012491325468,0.6293495516049,0.8750741648581536,1.1404850482940674,0.0002498626708984375
1,grid_lsvc_bsl_grid,0.7603953646898433,0.7318672572052121,0.850298126064736,0.6252343872644499,0.7985196585493327,0.6948148148148148,0.7318672572052121,0.7603953646898433,0.2810065907729179,0.6159736454698121,0.8738777274603657,0.9977869987487793,0.0003409385681152344
2,grid_svc_bsl_grid,0.7970347648261759,0.7300121959047436,0.8769246667355586,0.6492442663449527,0.8245442065229959,0.642962962962963,0.7300121959047436,0.7970347648261759,0.31358381502890176,0.6299185801281886,0.8734769422138359,71.85877299308777,0.4091758728027344
3,grid_gdb_bsl_grid,0.7602249488752556,0.7362821747223827,0.849952010237816,0.626756420549175,0.7986033316284661,0.7051851851851851,0.7362821747223827,0.7602249488752556,0.2826603325415677,0.617549095525086,0.8753928976995125,80.72601079940796,0.0066680908203125
