,model,accuracy,balanced_accuracy,f1,f1_macro,f1_weighted,recall_0,recall_macro,recall_weighted,precision_0,precision_macro,precision_weighted,time_train,time_predict
0,Logistic_reg_cvz,0.8525833186386881,0.8829356408239373,0.9097582037996544,0.7537241452107031,0.8727238460389899,0.9227340267459139,0.8829356408239373,0.8525833186386881,0.4419928825622776,0.7149017389839049,0.9230362485983533,0.7337350845336914,0.07578086853027344
1,Random_forest_cvz,0.8460588961382473,0.8734480419210775,0.9055705786911844,0.744630782907824,0.8673718544583502,0.9093610698365527,0.8734480419210775,0.8460588961382473,0.4297752808988764,0.7077061005389131,0.9196706208956685,7.185619115829468,0.435014009475708
2,LinearSVC_cvz,0.8663375066125903,0.8791665254511909,0.9191725314566005,0.7666127423067116,0.8829627842875384,0.8959881129271917,0.8791665254511909,0.8663375066125903,0.4670797831138652,0.7255490239770239,0.9226711306130955,0.14130496978759766,0.025834083557128906
3,SVC(kernel=rbf)_cvz,0.8592840768823841,0.8918803777082899,0.9140641826405341,0.7629659434603449,0.878201331302757,0.9346210995542348,0.8918803777082899,0.8592840768823841,0.45480838756326825,0.7222735967667088,0.9262564974552787,32.795960903167725,103.56105995178223
4,MultinomialNB_cvz,0.8522306471521778,0.8775923445158152,0.9096788100883813,0.7518355290751983,0.8722150371658378,0.9108469539375929,0.8775923445158152,0.8522306471521778,0.44069015097052483,0.7133357296908699,0.9212694500162963,0.11186099052429199,0.02864217758178711
5,GaussianNB_cvz,0.8280726503262211,0.7012326475909829,0.8989323105628694,0.6618555358124081,0.8426626334663924,0.5349182763744428,0.7012326475909829,0.8280726503262211,0.3522504892367906,0.64246209125208,0.8637925759489812,0.26779699325561523,0.7705788612365723
6,ComplementNB_cvz,0.8522306471521778,0.8775923445158152,0.9096788100883813,0.7518355290751983,0.8722150371658378,0.9108469539375929,0.8775923445158152,0.8522306471521778,0.44069015097052483,0.7133357296908699,0.9212694500162963,0.02814483642578125,0.028414011001586914
7,KNN_cvz,0.8732146005995415,0.8207065887276159,0.9251898865882844,0.7549115233056962,0.8847746728731788,0.7518573551263001,0.8207065887276159,0.8732146005995415,0.4782608695652174,0.7210294159228645,0.9061773550864729,0.010163307189941406,2.200655937194824
8,Gradient Boosting Classifier_cvz,0.7963322165402927,0.8484512675798402,0.870992963252541,0.6937635389724405,0.8289279297344638,0.9167904903417533,0.8484512675798402,0.7963322165402927,0.35955710955710957,0.6726989087608557,0.9115171562579817,54.72903299331665,0.1250309944152832
