"sc-9a1a1d31-3","sc-da9d5f14-0","sc-e3ea776e-1","sc-e3ea776e-3"
"","il y a 13 jours","Les articles proposés sont de bonne qualité et toujours d'un excellent rapport qualité/prix pour tous les âges et tous les goûts.
Le site de la Redoute est facile à consulter et les articles bien décrits.
Cerise sur le gâteau, des articles de nombreuses marques réputées sont présentés à des prix compétitifs et viennent ainsi compléter La Redoute Collections et La Redoute maison.
Le suivi de commande est parfait ainsi que la livraison par la poste ou en relais-colis.
FELICITATIONS ! Continuez ainsi","FELICITATIONS !"
"Client de laredoute.fr","il y a 11 jours","Commande, suivi, délais, livraison.... bons.
Produit: bureau NIZOU mauvais positionnement des 4 boulons de fixation du bloc tiroir sur le panneau d'habillage latéral vertical.
Les 2 trous du hauts sont bien positionnés, mais les 2 du bas sont légèrement désaxés par rapport aux réservations du bloc tiroirs. j'ai pu rattraper le coup pour le 3ème boulon, mais impossible d'aligner le quatrième. (heureusement ça tient avec 3). Conclusion: serrer la vis de vos fournisseurs chinois !","Montage du meuble"
"Client de laredoute.fr","il y a 5 jours","J'ai tout aimé comme d'habitude, simplicité et rapidité de la commande,choix des vêtements proposés et propositions bien ciblées.J'ai cette fois ci été déçue par la couleur d'un chemisier à fleurs qui sur la photo paraissaient nettement bleues et ce sont avérées mauves à l'arrivée.Le renvoi a heureusement été simple mais malheureusement beaucoup plus loin que du relais pick-up où j'ai reçu ma commande.
Je préférai que vous annonciez très clairement les couleurs .
Merci beaucoup.",""
"","28 sept. 2023","J'ai aimé la disponibilité du produit commandé, ainsi que la livraison à domicile.
J'ai déploré le comportement du livreur, très pressé, qui n'a pas pris le temps de lire le bon de LIVRAISON ( retour de l'ancien matelas que j'avais vu par Messenger et qui a été RAJOUTE à la commande). 
La mention de reprise de l'ancien objet livré, n'est pas précisé lors de la validation de la commande; vous en faite mention dans le descriptif du produit vendu et après PPFFTT,  plus rien.",""
"Client de laredoute.fr","il y a 6 jours","J’étais septique en l’achetant notamment en lisant certains commentaires qui le décrive moue. Effectivement à réception je l’ai trouvé très moelleux et j’ai eu peur qui ne maintienne pas bien ma nuque. Mais dès la première utilisation j’ai passé une très bonne nuit. Je dois dire que depuis une semaine je redore comme un bébé. J’ai vais mal aux cervicales et au dos le matin et depuis plus rien même mon bas du dos n’est plus tenu. Je recommande vivement cet oreiller.",""
"Client de laredoute.fr","5 oct. 2023","produits de marque La Redoute sympa, parfois prix un peu élevé pour la qualité, souvent des tissus fins, mais il y a souvent des réductions donc cela compense
Beaucoup de choix de marque avec prix intéressant aussi
PAR CONTRE plusieurs fois, et encore cette dernière commande, je reçois un produit presque pareil à celui commandé mais pas tout à fait, la photo sur le site n'est pas conforme ou alors l'article envoyé n'est pas bon, en tout cas cela arrive trop souvent",""
"Client de laredoute.fr","il y a 9 jours","Magnifique maillot de bain !
 Sobre mais  sexy à la fois  !  juste ce qu’il faut  😉
Aussi jolie et qualitatif qu’un maillot de bain de grande marque !  
Je le rachète pour la 2eme fois mais en  taille 40 suite à une augmentation mammaire (94cm de poitrine, un petit bonnet D)  
J’avais ce même maillot de bain en taille « 38 » qui va très bien je pense  jusqu’à un bonnet C 
Mes mensurations (tour de taille 70/71cm / tour de hanche 95/96 cm / tour de poitrine 96cm",""
"Client de laredoute.fr","il y a 11 jours","Bonjour, 
Particulièrement aimé la rapidité de l'envoi de ma commande. 
Mais je n'ai pas vue le transporteur, qui a mis mon colis directement dans la boîte au lettre, ceux qui peut être pas très judicieux car si mon colis avait disparu, aucun moyen pour moi pour justifier car également valider sur le suivi Web, pour les prochaines commandes, veiller à ce que le livreur respecte les consignes ? 
En vous remerciant par avance, cordialement, C.Wosynski.","Avis sur ma commande"
"Client de laredoute.fr","26 sept. 2023","Parfaitement bien organisé … quand vos livreurs arrivent à livrer le colis ! 

Je suis toujours en attente d’un puzzle qui n’a pas été livré sous prétexte que mon adresse est incomplète : 
or tous les autres articles de ma commande sont arrivés à mon adresse ! 
Comme dh’abtiude ! 
J’ai fait une réclamation mais aucune nouvelle à ce jour. 
Si vous pouvez m’aider à réceptionner mon colis … merci 
Ce n’est pas sérieux de leur part.","Tout dépend de la livraison !"
"Client de laredoute.fr","29 sept. 2023","Rapidité pour la livraison et grande possibilité de colis relais 
Le retour des marchandises est très facile 
Choix intéressant 
A revoir peut être dans la recherche des articles similaires si l’article voulu n’est pas dans votre taille : pour la part je fait des recherche en vêtements grande taille et lorsque vous cliquer sur « article similaire » vous tomber sur des articles qui ne font pas les grandes tailles - c’est dommage",""
"Client de laredoute.fr","il y a 5 jours","Bonjour c’est à propos de l’envoie de ma veste en daim.quand je regarde sur le site on me dit qu’elle est dans le relais ça c’était le 10/10/2023 donc le lendemain je vais dans le relais mais je n’avais pas reçu le QR code donc la dame ne m’a pas donné le colis il fallait le QR code et je l’ai reçu 4 jours plus tard ce qui n’est pas normal  voilà le petit problème mais j’ai eu ma veste non pas le 10/10/2023 mais le 14 /10/2023",""
"","5 oct. 2023","Tout est facile avec les services de La Redoute. Par contre sur le Market Place c'est plus compliqué : pour les achats chez les commerçants étrangers cela n'est pas mentionné dès le début de la commande. Le client devrait avoir connaissance de cette information avant de choisir les articles souhaités. Pour les articles en provenance de 
pays hors UE les délais de livraison sont trop longs à cause du passage à la douane.",""
"Client de laredoute.fr","il y a 2 jours","La livraison extrêmement rapide.
J’ai commandé un article dont la taille était donnée suivant les codes SMLXLXXL malheureusement il n’ n’existait  pas de correspondance avec les tailles européennes usitées en France. 
Heureusement, la taille je j’ai estimée correspondait à la mienne et j’ai pu garder mon article. La normalisation des tailles ou les correspondances doivent être en vigueur pour chaque article. Merci.",""
"Client de laredoute.fr","25 sept. 2023","J ai renvoyé le colis car ai fait une erreur dans les tailles 32 / 34  en pplace de W34 L 32, le colis est en route vers vos magasins, souhaite son remplacement avec la vraie taille W34 L 32 , ne veux pa etre remboursé, ai envoyé plusieurs mails a ce sujet car dois repartir a l etranger et souhaite avoir le LEVI'S 501 droit noir le plus tot possible;  Avec mes excuses. Merci de me confirmer le changement. JP GREPON","levis 501 noir"
"Client de laredoute.fr","4 oct. 2023","Tout est bien sauf la livraison.... Je paye un supplément pour être livré en 24 ou 48 heures. Un colis arrive le vendredi, le second, prévu et annoncé le samedi n'est pas livré. Je découvre en allant sur le site internet de suivit de Chronopost que j'aurais moi même appelé le livreur pour lui demander de ne pas être livré mais que le colis soit plutôt déposer dans  le relais colis de son choix le lundi suivant.",""
"Client de laredoute.fr","3 oct. 2023","Depuis la création de la redoute mes parents et moi 
Nous  vous avons  fait confiance. 
Âgée de 75 ans maintenant j’ai toujours acheté vêtements (lingerie, tout ce qui est linge de maison, meubles, jouets etc….. cela fait quatre générations que nous nous fournissons chez vous:
Mes grands mères, ma maman, moi et maintenant mes deux enfants  pour leurs propres enfants.
Merci à tous pour votre exellent travaille","Cliente très très très satisfaite"
"Client de laredoute.fr","il y a 6 jours","Excellent linge de lit.
Le lin est de très bonne qualité, la couleur très belle (j’ai choisi le coloris « Naturel » pour son aspect authentique et aussi parce que tout le processus -de la composition à la teinture- est fait en Europe : ne pas hésiter à consulter les détails fournis dans la description du produit pour vérifier ces informations avant votre achat si cela est important pour vous).
Ravie !",""
"","3 oct. 2023","Rapide et très professionnel ........ Les articles correspondent à la présentation tant sur la couleur, la qualité, les tailles ... + les partenaires qui élargissent le choix des propositions, sont tout aussi prompt à la réactivité pour une commande !!  Beau choix de produits fabriqué en France, c'est très motivant. Connaitre la provenance des articles est important - aujourd'hui - !!!",""
"Client de laredoute.fr","il y a 5 jours","Articles parfait et conforme à la description, livraison médiocre par contre , le livreur a déposé mon colis à l’autre bout du lieu de relais que j’avais choisit .parce que ça l’arrangeait lui . Je vous le fais remonté car , votre prestataire est médiocre et vous devriez en changer . Ça pourrait vous donner une mauvaise image à force .
Sinon, je suis contente de mes achats .
Mme Azais",""
"Client de laredoute.fr","il y a 11 jours","Le processus de commande, le suivi personnalisé très agréable, la qualité du produit à sa réception.
Mais le transporteur retenu n'est pas la hauteur de ce qu'on peut attendre et de ce qui se pratique couramment. Créneaux de livraison imposés, pas de solution web pour repositionner une livraison, pas de suivi en ligne de la livraison, agence locale injoignable pour une urgence, etc...","Bon produit, suivi client au top, mais transport à revoir."
"Client de laredoute.fr","29 sept. 2023","De belles promos pour toute la famille ainsi pour les enfants qu'on accueil à l'année..... c'est plutôt moi madame KHELID qui s'occupe du shopping de la maison.
Continuez sur les prix promo qui sont très attractifs pour les personnes aux budgets on va dire moyens...je parle souvent de la redoute autour de moi car certains ne savent pas qu'il y a des prix très wouahhhhhh.
Merci",""
"Client de laredoute.fr","il y a 4 jours","La réception de mes articles dans ma boîte aux lettres a été dans les délais, dommage qu'il n'y avait pas de point relai pour un article car le port est plus cher ! J'aimerais recevoir, comme avant, le catalogue car je trouve que c'est plus simple et plus attrayant par rapport à internet. Impossible de trouver un article alors qu'il est sur le petit catalogue de Anne Weyburn !","Toujours cliente depuis longtemps"
"Client de laredoute.fr","27 sept. 2023","J'ai fait livré les 2 colis chez mon beau-frère qui habite à côté de ma future maison, située à 450 km de mon domicile actuel. Je lui ai demandé de vérifier que les cartons n'étaient pas endommagés, j'espère qu'à leur ouverture, prévue dans 4 mois en janvier 2024, les meubles livrés seront en bon état et sans défaut. 
La Redoute ne pouvait pas attendre de me livrer en janvier.",""
"Client de laredoute.fr","23 sept. 2023","j'ai aimé la qualité des produits et leurs prix attratifs lors des promos , les explications sur ces produits et l'avis des autres acheteurs aussi . Bon suivi de la livraison et rapidité . Peut-être trop de produits de ""marques"" hors budget (surtout en vêtements ) pour un client au pouvoir d'achat moyen , j'aimerais plus du vrai ""La Redoute"" comme il y a très très longtemps !",""
"Client de laredoute.fr","20 sept. 2023","Le produit correspond vraiment à mes attentes.

Faire de mieux ? Demander à vos fournisseurs de housses de couette de prévoir 'des passe-mains' en haut des housses pour faciliter le passage.
Pourquoi ne pas proposer à vos acheteurs un coloris de drap housse assorti ? En effet pour l'achat de couettes multicolores il n'est pas toujours facile de choisir 'la bonne' couleur...",""
"Client de laredoute.fr","il y a 9 jours","Le site est fluide, la commande facile et il y a une bonne communication quant aux informations de livraison.
Par contre, il y a une erreur dans la commande: j'ai acheté un lit avec tiroir lit pour ma fille. Le lit est très bien, le tiroir aussi mais le matelas livré ne correspond pas à celui commandé (et proposé par le site). Il ne rentre pas dans le tiroir acheté avec.","Erreur de produit"
"Client de laredoute.fr","il y a 13 jours","Le principe de commande est simple, mais par contre j'ai essayer de vouloir modifier ma commande 10 minutes après l'avoir passé et cela n'a pas été possible malgré un appel au SAV. Il m'a été expliqué qu'étant donné que l'objet et en stock, il n'était pas possible de modifier ou annuler la commande. SI je ne voulais plus de l'objet, il fallait que je refuse la livraison.",""
"Client de laredoute.fr","26 sept. 2023","Cliente depuis de nombreuses années, j'apprécie la qualité constante et vraiment excellente du service après-vente, et la gentillesse et la disponibilité avec lesquelles on vous répond . L'offre est très variée et ""colle"" vraiment à l'air du temps, les prix attractifs; Bref, il se passe toujours quelque chose à La Redoute! Allez-y voir et vous ne la quitterez plus !","La Redoute, quelle chance!"
"Client de laredoute.fr","24 sept. 2023","la Redoute, c'est toujours parfait, efficacité, rapidité de livraison et qualité des  produits. Ce que je regrette, en tant qu'ancienne cliente, c'est la suppression
des catalogues ! avec internet, on est souvent orienté vers d'autres fournisseurs
et vous devez perdre des ventes ! On  ouvrait le catalogue pour un article et on trouvait beaucoup plus à commander !!!","la Redoute  c'est la bonne vieille maison de confiance."
"Client de laredoute.fr","il y a 7 jours","J'ai acheté 8 housses de couette et 8 draps house. Qualité et prix que je connaissais déjà auparavant. Rapidité de commande et livraison. Un seul bémol : emballage de livraison plastique très fragile (pas assez solide pour le poids des marchandises), ouvert à plusieurs endroits. Refermé avec différents scotch. Heureusement après contrôle le colis était complet !!","Très satisfait sauf l'emballage de livraison"
"Client de laredoute.fr","il y a 12 jours","Le choix des produits malheureusement ceux qui m’intéressent ne sont pas vendus par la redoute du coup faut payer le port du coup je ne commande pas par contre toutes les promotions valent le déplacement mais faut-il qu’il y ait la taille ou la couleur disponible par ailleurs beaucoup de produits ne sont pas livrables en point relais et cela ne m’intéresse pas",""
"","il y a 11 jours","J adore la redoute ça me rappelle ma mère qui  commandait régulièrement sur la redoute, les catalogues que je regardais pendant les vacances, et ce site qui a bien  rajeuni   l image de marque pour coller à son époque,  je trouve que c'est une vraie réussite. Beaucoup de choix des promotions nombreuses un très bon service client et idem pour la livraison","Bravo j adore …"
"Client de laredoute.fr","2 oct. 2023","J'ai reçu ma commande très rapidement mais je suis très déçue par la finition des couverts Laguiole reçus , je m'attendais à mieux. Je les garde car ça devrait aller pour un usage journalier (voir la résistance à  l'usage) ils sont garantis 2 ans, mais je n'en achèterai plus ou alors directement en commerce afin de voir immédiatement ce que j'achète.",""
"Client de laredoute.fr","2 oct. 2023","c'est la 1ère fois que je commande à la redoute par internet et je ne suis pas du tout déçue, je suis très satisfaite de la rapidité à laquelle j'ai reçu mon colis, à peine 3 jours entre la commande et la livraison , et la qualité de la marchandise était bien dans mes attentes. Pour moi , rien à dire de négatif, continuez comme cela.
MME PANIBAL","très satisfaite"
"Client de laredoute.fr","il y a 9 jours","Très bonne expérience. Profitant d’une promotion intéressante, les 8 chaises AMPM que j’ai commandées ont été livrées rapidement, (à domicile, dans le séjour) avant la date initialement indiquée. Le tout était parfaitement emballé.
Le produit est de belle qualité, bien fini, solide, aucun défaut. Très satisfaite de mon achat. Je recommande.",""
"","4 oct. 2023","Pour passer la commande, j'ai d'abord lu les avis clients, ce qui m'a été utile.
En effet, le modèle est trop large pour ma taille habituelle, suivant les conseils des clients je l'ai donc commandé une taille au-dessous, et pour ceux qui aiment la taille près du corps, je conseille 2 tailles en dessous.
J'aime beaucoup cet article",""
"Client de laredoute.fr","il y a 7 jours","Le suivi dans la livraison de la commande
par contre s'il y a du retard : comme ce fut le cas hier (1h30 = livraison prévue entre 8 et 10h et au final 11h30 la livraison !) être prévenue serait sympa car lorsque l'on attend, on se demande si la livraison aura bien lieu...  et qu'on a pris 2h de congés et au final ça fait 4h",""
"Client de laredoute.fr","il y a 6 jours","Envoi rapide, articles conformes à ce que j’ai commandé. Gros bémol sur l’emballage : trois boites de baskets Converse envoyées dans un gros sac trop grand. Résultat : Les baskets étaient toutes sorties de leurs boites et les boites étaient abimées. L’une des paire était un cadeau… la boite abimée ça ne le fait pas trop.","Envoi rapide mais emballage mal pensé."
"","il y a 7 jours","Site assez facile de navigation, pas mal de choix, facilité de commande et livraison assez rapide. Un petit bémol : j'aimerais que les tailles des vêtements soient notées taille par taille et non en double (ex : 42/44 etc....). Il est toujours difficile de comprendre qu'elle est la taille réelle qui nous convient.",""
"Client de laredoute.fr","il y a 7 jours","- Ameliorer le role d'intermediaire avec les founisseurs pour que le rembourssement, l'echange... soient meilleurs.

- J'ai commande un tapis et je l'ai recu avec des defauts mais il est trop loud et je l'ai garde malgre ses defauts. Alors pour les produits dont le poids est important, il faut un meilleur controle",""
"","il y a 8 jours","Je pense que ce système de vente par correspondance me convient parfaitement et est très performant .Je trouve toujours une réponse à la question que je me pose car tout est bien rôdé et je ne suis jamais déçue .Toutes les informations sur le déroulement de l'expédition sont pertinentes et sérieuses.Merci beaucoup",""
"Client de laredoute.fr","28 sept. 2023","La rapidité.
Mais je n'ai pas aimé qu'on me dise que j'avais une quantité d'argent pour moi , pour être nouvelle cliente, et que pour l'avoir on me dirige vers une autre page qu'en plus ce qu'ils voulaient, et d'une façon pas claire, c'était de me faire payer chasque mois une autre quantité.c'est presque trompeur.",""
"","22 sept. 2023","J'apprécie la navigation aisée sur le site,  la rapidité de livraison, la facilité de retour éventuel .... Par contre, couleurs, tailles sont parfois aléatoires Pour les offress autres que La Redoute, le détail du descriptif manque  parfois de précisions..
Mais je reste très satisfaite du service de La Redoute !","Satisfaite du service La Redoute !"
"Client de laredoute.fr","il y a 9 jours","Les produits sont conformes aux descriptifs, le suivi est précis et conforme également. Simplement j’avais prévu une commande plus importante à l’origine, qui malheureusement n’a pas aboutie, le paiement en 4x ne fonctionnait pas. J’ai donc réduit considérablement ma commande pour la payer en une fois. Dommage","Ok, mais hic sur le paiement"
"Client de laredoute.fr","21 sept. 2023","Très bon suivi des commandes, le jour de livraison est respecté,
Emballage soigné.
Pas de défaut sur les draps en percale de coton, mais après lavage 
Ils restent très froissés malgré un repassage avec une centrale vapeur.
Ceux que je commandais  auparavant en 100% coton ne froissaient pas autant !!!","Suivi et avis sur des commandes"
"Client de laredoute.fr","il y a 9 jours","Je recherchais des bottes bien spéciales. Grâce aux filtres j'ai pu ciblé ma recherche. L'offre promotionnelle tombait pile poil, j'en ai profité sans attendre. La livraison à été plus rapide que prévue. L'emballage était soigné. Les bottes et la qualité correspondent aux photos et à la description.","Achat bottes"
"Client de laredoute.fr","il y a 12 jours","Tout c’est bien passé, mais je ne cautionne pas le fait qu’on me livre le plateau de table un jour et 5 jour après le pied de table. Un seul transport et une seule livraison des deux objets devrait être une évidence pour le client et pour l’empreinte carbone. 
Donc, il faut grouper les livraisons",""
"Client de laredoute.fr","25 sept. 2023","Je suis fan de la gaze de coton et j’ai testé la marque de la redoute.. j’en suis très satisfaite! Le plus: lorsqu’ils font des remises, ce sont de VRAIES REMISES!! J’ai eu une housse de couette et deux taies pour 116€! Même pas le prix de la housse seule! Je projette d’en racheter prochainement!","Housse de couette gaze de coton"
"Client de laredoute.fr","il y a 11 jours","commande rapidement envoyée
possibilité de retour facile
dommage que le choix des couleurs ne correspondent pas à la réalité , lorsque l'article arrive la couleur de l'article ne correspond pas à ce que l'on voit sur le catalogue ou sur internet ; j'ai du retourner des articles à cause de cela.",""
"Client de laredoute.fr","2 oct. 2023","LES COMMANDES SONT ASSEZ RAPIDES, RETOUR  TRES SIMPLE MALHEUREUSEMENT J'AI FAIT UN CHOIX QUI NE ME CONVENAIT PAS TRES BEAU TISSUS POUR LES COSTUMES, MAIS LES PANTALONS BEAUCOUP TROP LARGES, J'AURAIS AIME QUE LES COSTUMES SOIENT CLASSICS. J'EN AURAIS SUREMENT COMMANDE UN OU DEUX. CORDIALEMENT","JOYEUSE"
"Client de laredoute.fr","25 sept. 2023","J ai acheté des rideaux en lin lavé et doublés que j ai trouvés très bien SAUF la couleur . J ai commandé couleur LIN et j ai reçu couleur STONE.
Alors j ai retourné les rideaux .
Et puis j en ai rachetés couleur NATUREL et ceux là me conviemment 
SAUF QU ILS M ONT COÛTE 50 EUROS DE PLUS !!!",""
"","6 oct. 2023","Une livraison assez rapide, les tailles sont bonnes, la qualité des articles parait correcte par rapport au prix. Il faut impérativement améliorer vos tableaux de tailles, les correspondances entre les normes françaises, européennes, américaines constituent 75% du temps passé à la commande.",""
"Client de laredoute.fr","2 oct. 2023","Lors de la livraison, pas de colis pour nous dans le camion. Nouvelle planification. Après ouverture une latte cassée sur le sommier remplacée par mes soins.
Depuis, appel spontané du service client après mon commentaire, remboursement partiel et bon d'achat proposé spontanément. Très pro.",""
"Client de laredoute.fr","21 sept. 2023","Ravi de la paire de basket pour mon fils délai de livraison plus que raisonnable pour la Corse ! en ce qui me concerne j'attends de renvoyer les miennes car beaucoup trop grandes malgrés ma pointure habituelle ! Je demande un remboursement pour le moment, en attendant mon prochain achat !",""
"Client de laredoute.fr","il y a 6 jours","Une grande diversité et une excellente qualité des produits. Avec La Redoute +: les offres et soldes, la rapidité des livraisons. Site internet clair et fluide. Disponibilité en temps réel du produit sélectionné. Communication rapide par mail sur les promos en cours, les réassortiments.","Très bien !"
"","il y a 13 jours","Rapide pour la livraison ; beaucoup de possibilité de choix et orientation vers d'autres produits similaires; Très bonne qualité des produits achetés. 

Mis à part le dernier achat de taies d'oreillers en percale de qualité supérieure la couleur ne correspondait pas du tout à l'image!",""
"Client de laredoute.fr","1 oct. 2023","Satisfait de mes achats et de la rapidité d'envoi des articles. Cependant j'aurais apprécié d'être averti par mail ou sms que mon colis m'attendait dans le point relais. Je n'ai jamais rien reçu. J'ai moi même fait la démarche d'aller voir et constater que le colis était bien arrivé.",""
"Client de laredoute.fr","21 sept. 2023","Site agréable et livraisons rapides
Un gros bémol sur le fait de ne pas avoir la description du produit immédiatement en dessous
Des tailles qui varient selon les marques, ce qui rend compliqué la taille à choisir
Mais de jolis produits y compris sur les produits vendus par La Redoute",""
"Client de laredoute.fr","il y a 4 jours","Facilité de commander,
Le sac de livraison pouvant être réutilisé pour le retour des articles non gardé grâce à la bande autocollante prévue à cette effet (très bien pensée).
L’idée du code barre qui permet également de ne pas imprimer de bon de retour (écologique et très pratique).","Facilité en tous points !"
"Client de laredoute.fr","il y a 11 jours","Du choix et des promos. Livraison rapide. Mais grosse déception sur ma dernière livraison. Le produit est endommagé et plus de possibilités de retour car les étiquettes sont jetées... c'est la première fois que cela m'arrive après de nombreuses années de commande chez la redoute...",""
"Client de laredoute.fr","5 oct. 2023","Je n'avais jamais commandé de meubles sur la redoute et j'appréhendais un peu, au final je suis ravie!
Livraison beaucoup plus rapide que prévue (livrée 10 jours plus tôt).
Meuble un peu abîmé mais le service client a été hyper réactif et m'a proposé une solution qui me convenait.","Parfait"
"Client de laredoute.fr","24 sept. 2023","Commande lit + tiroir + matelas livrés groupés et tout à fait conformes à notre attente. 
Livraison gratuite en essai mais compte tenu du montant de la commande offert aurait été mieux. Impossible de retrouver sur votre site l’annulation de cet abonnement à la livraison gratuite.",""
"Client de laredoute.fr","il y a 9 jours","Je suis déçue par le délais de livraison. Je pouvais avoir une livraison gratuite. J'ai opté pour une livraison payante pour avoir mon achat plus rapidement. Finalement j'ai reçu mon achat à la même date que si j'avais pris la gratuite ... 

En lui même, mon achat est impeccable.","Délais de livraison"
