"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 5","typography_body-m__xgxZ_ 6","typography_body-m__xgxZ_ 7","typography_body-m__xgxZ_ 8"
"NL","https://fr.trustpilot.com/users/543ffbd800006400019090f9","Nathalie Leloup","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 déc. 2016","https://fr.trustpilot.com/reviews/584054e090ef760a1897506e","incompetent","j'ai commande deux chevets dont un seul m'est parvenu,aucune explication!apres 12 minutes d'attente, on m'a repondu que l'on voulait bien me croire qu'un seul chevet m'etait parvenu et comme l'article etait épuisé , on procedait a un remboursement!hallucinant!!merci de m'avoir tenu informée!!!!la commande a eté livrée en point relais ,le chevet est donné manquant!bref ,ilsl' ont perdu!!!incompetent et tres limite quant a l'honnetétres limite","01 décembre 2016","Date de l'expérience:","Utile","Partager","1"
"AC","https://fr.trustpilot.com/users/584026370000ff000a5cebbc","Angelique Carpentier Hodin","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 déc. 2016","https://fr.trustpilot.com/reviews/5840263f02db9b09605fa229","À eviter","Je passe mon chemin !!! Commande le 26aout annulée sans prévenir de leur part.Re commande le 21 septembre , on m'a certifié recevoir la commande qui ne bouge pas !!!! Finalement j annule la commande moi même car ma patience a des limites .Plus de 2mois a attendre pour rien .Un service client qui ne répond pas aux questions, toujours le même blabla , et finalement ose vous demander à la fin si on a d'autres questions lol","01 décembre 2016","Date de l'expérience:","Utile","Partager",""
"VI","https://fr.trustpilot.com/users/583fea8b0000ff000a5cd474","Villanueva","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 déc. 2016","https://fr.trustpilot.com/reviews/583fead86d50e70bc4f99362","Service client Déplorable ! des voleurs !!!","J'ai fais une commande début octobre 2016, nous sommes en décembre, et je n'ai toujours rien !!! J'ai appelé une dizaine de fois, minimum 8 à 10 minutes d'attente ! Pour tomber sur quelqu'un qui parle a peine français, qui ne sait même pas de quoi on parle (Euh.. il n'y a pass de dossier suivi client ????) et qui vous dit la même chose : ""je transmets votre demande et on vous rappelle""..Mais ca fait 20 fois qu'on me dit la même chose..rien n'avance.. Le conseiller se permet de me dire sur ma messagerie ""vous n'êtes jamais joignable"" Ben excusez moi de travailler !!!! C'est d'ailleurs parce que je travaille que je peux dépenser mes sous chez vous! Nan mais c'est quoi ce délire ???? Ensuite je rappelle, encore et encore, pour faire une demande de remboursement.. en attente.. on vous rappelle.. je rappelle... oui on vous rappelle ... Bref ! nous sommes en décembre et je n'ai TOUJOURS RIEN! a part que j'ai payé 60 euros et pas d'article !!! Ca me rend folle !! Les conseiller sont mal aimable, se permette de vous faire des réflexions, genre : ""vous avez fait une enquête auprès de la poste ? ""  Ben oui, j'ai que ça a faire!!  Bref, plus jamais la redoute !!! ni moi, ni mes amis qui ont eu le même genre de désagrément !","01 décembre 2016","Date de l'expérience:","Utile","Partager","1"
"AP","https://fr.trustpilot.com/users/583f032e0000ff000a5c98a8","Alizé Ph","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 nov. 2016","https://fr.trustpilot.com/reviews/583f033702db9b09605f68de","Service clients de m****","Commande debut novembre. Retard dans la livraison. OK j'attend. Toujours pas de nouvelles après 1 semaine. 1 émail,  puis 2,3,4 et 5 toujours pas de réponse j'appelle ouI oui le colis arrive il y a u un retard on vous envoi un émail des qu'il est au point relais.  Toujours pas de nouvelles une sémane après . Je rappelle et la on m'annonce que le colis est perdu !!!! Après on me propose de recommander les articles et ba non stock épuisé !!!! Au bout de 5 émails sans réponse, 2 appels payants et 1 mois d'attente je trouve cela inadmissible. Je ne vous recommande pas qu'elle honte !!!! Franchement service client nul. J'attend mon remboursement, j'espère que celui ci ne sera pas perdu ou en épuisement !!!!+","30 novembre 2016","Date de l'expérience:","Utile","Partager",""
"","https://fr.trustpilot.com/users/578f667b0000ff000a336932","le Bihan","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","30 nov. 2016","https://fr.trustpilot.com/reviews/583e3a5602db9b09605f3db7","Des voyoux !","Après avoir eu mon premier appartement je commande une armoire, pas de nouvelle au bout de 2 semaines je tente de les contacters le produit est en rupture de stock, puis ils me disent que je doit me debrouiller avec leur transporteur qui reste injoignable !! au bout de 3 mois je suis rembourser de l'armoire MAIS pas des 70EUROS de livraison !!!! Alors que je n'ai rien recu et que la réference du produit n'es plus vendu par laredoute!!!! Des VOLEURS ! 70euros de perdu pour RIEN!","30 novembre 2016","Date de l'expérience:","Utile","Partager",""
"CS","https://fr.trustpilot.com/users/52ade814000064000159d7b6","chloé Siciliano","11 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","29 nov. 2016","https://fr.trustpilot.com/reviews/583c96a202db9b083cc3fd9f","Delais respecté","2 commandes passé en moins de 2 semaines et j'ai reçu le colis dans les temps et les produits sont top rien a dire.","28 novembre 2016","Date de l'expérience:","Utile","Partager",""
"FG","https://fr.trustpilot.com/users/5839bc1f0000ff000a5b3b0c","françois G.","4 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","Actualisé le 26 nov. 2016","https://fr.trustpilot.com/reviews/5839c0aa02db9b083cc38cf1","Jamais vu ça","Je n'ai rien à redire sur la qualité des produits que j'ai acheté chez la Redoute, j'en suis très content.Cependant j'ai vécu plusieurs choses que je considère comme incroyable :-je commande durant les soldes un article affiché en stock et je paie. 2 jours plus tard : la commande du produit est annulé (comme ça sans raison, on vous envoi un mail pour vous dire que c'est annulé point barre. Dieu merci ils ne prélèvent pas pour les articles annulés). Je vais jeter un coup d’œil sur le site et c'est marqué ""rupture de stock""(pourtant quant je l'ai acheté il était marqué en stock...). 2 jours plus tard l'article est de nouveau disponible (mais plus cher... bon j'ai décidé de ne pas faire un drame national pour 2€), je le rachète donc. REBELOTE : nouvelle annulation intempestive. Il faudra que j'appelle finalement le service client en demandant ironiquement si La Redoute à un soucis avec l'idée de vendre des biens, pour pouvoir enfin avoir une commande sortant de l'entrepôt. Pour moi c'était déjà la 4e dimension là...-parmi mes achats effectués le 4 octobre, un matelas. Livraison estimée entre le 20 et le 25 octobre. Je regarde et je vois le 24 octobre que l'article n'est toujours pas parti des entrepôts de La Redoute. On reprend donc le téléphone pour appeler le service client (première fois de ma vie que j'ai à passer des coups de fil pour un achat sur internet) et là on m'indique que oui il va y avoir un retard (livraison estimée une semaine plus tard...). Bien entendu on n'a aucun moment songé à me contacter pour me prévenir : aucun coup de fil, aucun mail, rien. Finalement les livreurs se sont présentés le 8 novembre...Bref messieurs, mesdames de La Redoute, si vous lisez ces lignes, j'espère que vous êtes conscients que vous êtes à des années lumières d'avoir un service commande/client digne de ce nom. Vous fonctionnez comme au XXe avant l'internet, vous n'êtes pas réactifs. Continuez comme ça et vous allez droit dans le mur.Oh et j'allais oublier : mention spéciale pour le service ""contactez nous par mail"" qui est toujours inactif ce 26 novembre, sachant que c'était déjà le cas le 4 octobre quant je me suis inscris (bon au moins vous avez enlevé le message qui disait qu'il y avait une opération de maintenance... Il est vrai qu'une opération maintenance informatique de 3 semaines ça fait tâche...)","26 novembre 2016","Date de l'expérience:","Utile","Partager","1"
"DU","https://fr.trustpilot.com/users/58396f0f0000ff000a5b291e","dunky","5 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","26 nov. 2016","https://fr.trustpilot.com/reviews/58396f369a1ea70b8cb5688d","Des voleurs","J'ai acheté chez eux un matelas vendu comme très ferme et qui était en fait très mou. J'ai demandé un remboursement qui devait intervenir sous 15 jours. J'attend depuis 3 mois. Le service client que j'ai appelé de nombreuses fois me balade et ment à longueur de temps. Je comprend mieux le succès d'Amazon et je suis persuadé qu'avec un comportement comme cela, la redoute court à sa perte. Je prédis la faillite à plus ou moins court terme pour ce marchand s'il continue à agir de la sorte. L'image de marque d'un entreprise passe en grande partie par le service client (compétence et rapidité) et celui-ci est désastreux chez eux. Comme vous l'aurez compris, je vous déconseille fortement de passer par ce marchand.","26 novembre 2016","Date de l'expérience:","Utile","Partager",""
"QS","https://fr.trustpilot.com/users/5838183b0000ff000a5ade2f","QUETIL Stéphanie","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 nov. 2016","https://fr.trustpilot.com/reviews/58381a1402db9b083cc34d72","Des escrocs","J'ai passé une commande sur leur site début juillet. Malheureusement, le produit livré n'est pas conforme (mauvaises dimensions). La Redoute m'a renvoyé vers le vendeur Un amour de Tapis pour régler le problème. La Redoute se décharge complètement de sa responsabilité et ne fait absolument rien pour régler le problème. J'ai pourtant commander le tapis sur leur site. Je ne commanderai plus jamais rien sur le site de La Redoute.","25 novembre 2016","Date de l'expérience:","Utile","Partager",""
"EG","https://fr.trustpilot.com/users/5837fdae0000ff000a5ad5ca","El Gahda Despres Laetitia","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","25 nov. 2016","https://fr.trustpilot.com/reviews/5837fdb990ef760b9cf20d53","Décevant, prend ses clients pour des imbéciles...","J'ai passé une commande le 07/09/2016 contenant 2 paire de baskets pour ma fille dont une paire de basket Nike fille en réduction -70%, je reçois dans les temps mon colis mais surprise pas la paire soldé seulement l'autre dont limite je me moqué, je l'ai contact et ils me disent qu'il l'on pas en stock et la commande chez le fournisseur, le 24/11/16 je les recontacte car toujours pas de colis à l'horizon et les pieds des enfants poussent vite, et la on me dit qu' on va accélérer ma commande et la passer en prioritaire, le lendemain La Redoute me recontacte pour me dire qu'il ne les ont pas en stock et qu'ils vont me rembourser mes 24€ ou que je peux prendre une autre paire similaire, je lui demande  comment ça se passe est-ce que je prends une paire de Air Max similaire que je paie que 24 € ou au prix sur leur site, il me dit non non une paire de même valeur soi 24€, je lui explique donc que c'est un peu compliqué maintenant de trouver une paire de Nike Air Max à 24 € pour enfant, il me dit qu'il comprend bien mais que c'est comme ça ou sinon il me rembourse, quelle belle façon de fidéliser ses clients, pour moi la redoute c'est terminé.En clair il appâte les clients avec de grosse réduction et au final n'envoie pas le produit soldé seulement le reste.","25 novembre 2016","Date de l'expérience:","Utile","Partager",""
"MM","https://fr.trustpilot.com/users/583587250000ff000a5a31f3","Marie Monin","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","23 nov. 2016","https://fr.trustpilot.com/reviews/58358751f83e390a30aa5958","La belle escroquerie!","J'aurai du lire vos avis plus tôt! J'ai effectué un achat sur la redoute en ligne, plutôt confiante au vue de la pérennité de cette enseigne. J'ai retourné l'article (une robe) en aout et nous voilà bientôt en décembre. Toujours aucun remboursement!! Impossible de les contacter par mail jusqu'à peu (site en maintenance...), temps d'attente excessivement long pour les avoir au téléphone (bonjour la facture...) et avec toujours la même réponse ""bijour madame, oui madame, ji fais li nécessaire madame"" mais la communication doit s'arrêter là car ma situation n'est pas débloquée. Je ne sais plus quoi faire... SI d'autres sont comme moi , peut être un recours collectif?!!! Ce site mise tout sur sa réputation et ne tient en rien ses engagement commerciaux. C'est inadmissible, on se fait grignoter de tout les côtés!","23 novembre 2016","Date de l'expérience:","Utile","Partager",""
"JC","https://fr.trustpilot.com/users/583345ea0000ff000a598f27","Julien Chamaret","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 nov. 2016","https://fr.trustpilot.com/reviews/583345fbf83e39098c94be1d","Arnaque","Nous avons commandé une machine à laver le linge au mois de juillet, le site de la redoute nous annonçais 1 à 2 semaines de livraison. Après avoir patienté 2 semaines et ne voyant rien arrivé, j ai décidé d appelé une première fois, la personne au bout du fil après m avoir annoncé qu elle avait enregistré ma réclamation m annonce que la machine devrait arriver début du mois prochain, soit 1 mois après la commande... 3 mois après et une bonne dizaine de coup de fil ainsi qu une dizaine de bons menteurs au bout, on m annonce finalement que ma commande a été annulé car ils ne vendent plus le produit...Hors la machine est toujours en vente sur leurs site (plus chère bien sûr). Ils sont tellement malin qu ils ont changé la référence chez eux du coups il faut que je repasse une commande de la machine, mais ne vous inquiétez pas, nous vous envoyons un mail avec un geste commercial pour nous excuser... 1 mois après toujours rien.... du bon foutage de g.....","21 novembre 2016","Date de l'expérience:","Utile","Partager",""
"MC","https://fr.trustpilot.com/users/5833336c0000ff000a59866c","Marie Courtois","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 nov. 2016","https://fr.trustpilot.com/reviews/58333474f83e39098c94b876","Ami acheteur, passe ton chemin!","J'attends depuis plus de 4 mois le remboursement d'une lampe commandée en juillet et jamais reçue! J'ai arrêté de compter le nombre de coup de fils passes! Je viens d'essayer d'envoyer un message via leur site (c'est nouveau car il etait jusqu'a tres recemment impossible de leur envoyer un mail)....et le site a plante au moment de l'envoi!Au vu des autres témoignages, il y a une repetition inquietante de cette pratique qui s'apparente a de l'escroquerie pure.La Redoute, c'est fini pour moi, on ne m'y reprendra plus.","21 novembre 2016","Date de l'expérience:","Utile","Partager",""
"MM","https://fr.trustpilot.com/users/5832ee480000ff000a5967cf","Michael  Millet","1 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 nov. 2016","https://fr.trustpilot.com/reviews/5832ee6a2ae76008c819a2d9","Le Redoute peut vous voler","Bonjour, j'ai commandé, la Redoute a encaissé et n'a pas livré la totalité de la commande, depuis, je les ai appelé 4 fois, envoyé 3 mails et toujours aucune trace de mon remboursement malgré leurs promesses.Conclusion, site a éviterBonne journée","21 novembre 2016","Date de l'expérience:","Utile","Partager","2"
"HU","https://fr.trustpilot.com/users/57bc05230000ff000a3d466a","husky","3 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","21 nov. 2016","https://fr.trustpilot.com/reviews/5832cc13f83e39098c94995c","sav minable","j'ai commandé une paire de bottine de la marque ""pepe jean"" à 130 € tout de même. Le temps de livraison a été respecté mais alors sur des bottines a ce prix là il manquait une semelle en cuir dans l'une des chaussures (ce qui est inadmissible pour des bottines à ce prix). Donc j'appelle le service après vente qui ne me trouve la solution que de ramener la paire de chaussure. je demandais un geste commercial (un remboursement pour que je puisse m'acheter une paire de semelle )et elle  me propose une réduction minable genre 10% sur un prochain achat sur leur site . je pense juste avoir assez dépensé sur leur site a ce moment là ! Il est hors de question que je recommande sur ce site minable.","21 novembre 2016","Date de l'expérience:","Utile","Partager",""
"VL","https://fr.trustpilot.com/users/582f467f0000ff000a58bba2","Villa Les Dunes","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 nov. 2016","https://fr.trustpilot.com/reviews/582f469af83e3901b8a71ffe","La Redoute a un vrai problème commercial.","Je suis bien d'accord. Je suis une cliente fidèle de la Redoute depuis plus de 20 ans. Le service après vente et la hot line ne sont plus du tout à la hauteur. Vrai problème commercial. C'est fini pour moi la Redoute.","18 novembre 2016","Date de l'expérience:","Utile","Partager","1"
"FR","https://fr.trustpilot.com/users/582dac870000ff000a5848a9","Freightman","2 avis","FR","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","17 nov. 2016","https://fr.trustpilot.com/reviews/582dacac2c4d4e0b8cf68588","La redoute  n'est pas toujours la redoute","Vous pensez achetez à la Redoute ...mais en fait  ils louent leurs plate forme à des ""partenaires"" et en face de vous vous avez des revendeurs  low cost et surtout  low service.ex: Etrouvetout pour l’électroménager : garantie constructeur réduite au maximum , pas de SAV propre (ils vs renvoient sur le SAV de la marque) etc. Et la Redoute ne prends aucune responsabilité ( de l'oseille ils en prennent) et se défausse sur le ""partenaire"".Au final si il y a un problème le client est marron.Conclusion soyez méfiant ou oubliez la redoute.","17 novembre 2016","Date de l'expérience:","Utile","Partager",""
